longitude,latitude,country
-10.0,52.25,Ireland
-10.0,52.0,Ireland
-10.0,51.75,Ireland
-9.75,54.0,Ireland
-9.75,53.75,Ireland
-9.75,53.5,Ireland
-9.75,52.5,Ireland
-9.75,52.25,Ireland
-9.75,52.0,Ireland
-9.75,51.75,Ireland
-9.75,39.0,Portugal
-9.75,38.75,Portugal
-9.75,38.5,Portugal
-9.5,54.25,Ireland
-9.5,54.0,Ireland
-9.5,53.75,Ireland
-9.5,53.5,Ireland
-9.5,53.25,Ireland
-9.5,53.0,Ireland
-9.5,52.75,Ireland
-9.5,52.5,Ireland
-9.5,52.25,Ireland
-9.5,52.0,Ireland
-9.5,51.75,Ireland
-9.5,51.5,Ireland
-9.5,43.25,Spain
-9.5,43.0,Spain
-9.5,42.75,Spain
-9.5,39.75,Portugal
-9.5,39.5,Portugal
-9.5,39.25,Portugal
-9.5,39.0,Portugal
-9.5,38.75,Portugal
-9.5,38.5,Portugal
-9.5,38.25,Portugal
-9.25,54.5,Ireland
-9.25,54.25,Ireland
-9.25,54.0,Ireland
-9.25,53.75,Ireland
-9.25,53.5,Ireland
-9.25,53.25,Ireland
-9.25,53.0,Ireland
-9.25,52.75,Ireland
-9.25,52.5,Ireland
-9.25,52.25,Ireland
-9.25,52.0,Ireland
-9.25,51.75,Ireland
-9.25,51.5,Ireland
-9.25,43.25,Spain
-9.25,43.0,Spain
-9.25,42.75,Spain
-9.25,42.5,Spain
-9.25,42.25,Spain
-9.25,42.0,Spain
-9.25,41.75,Portugal
-9.25,41.5,Portugal
-9.25,40.25,Portugal
-9.25,40.0,Portugal
-9.25,39.75,Portugal
-9.25,39.5,Portugal
-9.25,39.25,Portugal
-9.25,39.0,Portugal
-9.25,38.75,Portugal
-9.25,38.5,Portugal
-9.25,38.25,Portugal
-9.0,54.5,Ireland
-9.0,54.25,Ireland
-9.0,54.0,Ireland
-9.0,53.75,Ireland
-9.0,53.5,Ireland
-9.0,53.25,Ireland
-9.0,53.0,Ireland
-9.0,52.75,Ireland
-9.0,52.5,Ireland
-9.0,52.25,Ireland
-9.0,52.0,Ireland
-9.0,51.75,Ireland
-9.0,51.5,Ireland
-9.0,43.5,Spain
-9.0,43.25,Spain
-9.0,43.0,Spain
-9.0,42.75,Spain
-9.0,42.5,Spain
-9.0,42.25,Spain
-9.0,42.0,Spain
-9.0,41.75,Portugal
-9.0,41.5,Portugal
-9.0,41.25,Portugal
-9.0,41.0,Portugal
-9.0,40.75,Portugal
-9.0,40.5,Portugal
-9.0,40.25,Portugal
-9.0,40.0,Portugal
-9.0,39.75,Portugal
-9.0,39.5,Portugal
-9.0,39.25,Portugal
-9.0,39.0,Portugal
-9.0,38.75,Portugal
-9.0,38.5,Portugal
-9.0,38.25,Portugal
-9.0,38.0,Portugal
-9.0,37.75,Portugal
-9.0,37.5,Portugal
-9.0,37.25,Portugal
-9.0,37.0,Portugal
-9.0,36.75,Portugal
-8.75,54.75,Ireland
-8.75,54.5,Ireland
-8.75,54.25,Ireland
-8.75,54.0,Ireland
-8.75,53.75,Ireland
-8.75,53.5,Ireland
-8.75,53.25,Ireland
-8.75,53.0,Ireland
-8.75,52.75,Ireland
-8.75,52.5,Ireland
-8.75,52.25,Ireland
-8.75,52.0,Ireland
-8.75,51.75,Ireland
-8.75,51.5,Ireland
-8.75,43.5,Spain
-8.75,43.25,Spain
-8.75,43.0,Spain
-8.75,42.75,Spain
-8.75,42.5,Spain
-8.75,42.25,Spain
-8.75,42.0,Portugal
-8.75,41.75,Portugal
-8.75,41.5,Portugal
-8.75,41.25,Portugal
-8.75,41.0,Portugal
-8.75,40.75,Portugal
-8.75,40.5,Portugal
-8.75,40.25,Portugal
-8.75,40.0,Portugal
-8.75,39.75,Portugal
-8.75,39.5,Portugal
-8.75,39.25,Portugal
-8.75,39.0,Portugal
-8.75,38.75,Portugal
-8.75,38.5,Portugal
-8.75,38.25,Portugal
-8.75,38.0,Portugal
-8.75,37.75,Portugal
-8.75,37.5,Portugal
-8.75,37.25,Portugal
-8.75,37.0,Portugal
-8.75,36.75,Portugal
-8.5,54.75,Ireland
-8.5,54.5,Ireland
-8.5,54.25,Ireland
-8.5,54.0,Ireland
-8.5,53.75,Ireland
-8.5,53.5,Ireland
-8.5,53.25,Ireland
-8.5,53.0,Ireland
-8.5,52.75,Ireland
-8.5,52.5,Ireland
-8.5,52.25,Ireland
-8.5,52.0,Ireland
-8.5,51.75,Ireland
-8.5,51.5,Ireland
-8.5,43.75,Spain
-8.5,43.5,Spain
-8.5,43.25,Spain
-8.5,43.0,Spain
-8.5,42.75,Spain
-8.5,42.5,Spain
-8.5,42.25,Spain
-8.5,42.0,Portugal
-8.5,41.75,Portugal
-8.5,41.5,Portugal
-8.5,41.25,Portugal
-8.5,41.0,Portugal
-8.5,40.75,Portugal
-8.5,40.5,Portugal
-8.5,40.25,Portugal
-8.5,40.0,Portugal
-8.5,39.75,Portugal
-8.5,39.5,Portugal
-8.5,39.25,Portugal
-8.5,39.0,Portugal
-8.5,38.75,Portugal
-8.5,38.5,Portugal
-8.5,38.25,Portugal
-8.5,38.0,Portugal
-8.5,37.75,Portugal
-8.5,37.5,Portugal
-8.5,37.25,Portugal
-8.5,37.0,Portugal
-8.5,36.75,Portugal
-8.25,55.0,Ireland
-8.25,54.75,Ireland
-8.25,54.5,Ireland
-8.25,54.25,Ireland
-8.25,54.0,Ireland
-8.25,53.75,Ireland
-8.25,53.5,Ireland
-8.25,53.25,Ireland
-8.25,53.0,Ireland
-8.25,52.75,Ireland
-8.25,52.5,Ireland
-8.25,52.25,Ireland
-8.25,52.0,Ireland
-8.25,51.75,Ireland
-8.25,51.5,Ireland
-8.25,43.75,Spain
-8.25,43.5,Spain
-8.25,43.25,Spain
-8.25,43.0,Spain
-8.25,42.75,Spain
-8.25,42.5,Spain
-8.25,42.25,Spain
-8.25,42.0,Portugal
-8.25,41.75,Portugal
-8.25,41.5,Portugal
-8.25,41.25,Portugal
-8.25,41.0,Portugal
-8.25,40.75,Portugal
-8.25,40.5,Portugal
-8.25,40.25,Portugal
-8.25,40.0,Portugal
-8.25,39.75,Portugal
-8.25,39.5,Portugal
-8.25,39.25,Portugal
-8.25,39.0,Portugal
-8.25,38.75,Portugal
-8.25,38.5,Portugal
-8.25,38.25,Portugal
