,longitude,latitude,region
31940,6.0,51.75,Nordrhein-Westfalen
31950,6.0,51.5,Nordrhein-Westfalen
31960,6.0,51.25,Nordrhein-Westfalen
31970,6.0,51.0,Nordrhein-Westfalen
31980,6.0,50.75,Nordrhein-Westfalen
32430,6.25,52.0,Nordrhein-Westfalen
32440,6.25,51.75,Nordrhein-Westfalen
32450,6.25,51.5,Nordrhein-Westfalen
32460,6.25,51.25,Nordrhein-Westfalen
32470,6.25,51.0,Nordrhein-Westfalen
32480,6.25,50.75,Nordrhein-Westfalen
32490,6.25,50.5,Nordrhein-Westfalen
32500,6.25,50.25,Rheinland-Pfalz
32510,6.25,50.0,Rheinland-Pfalz
32520,6.25,49.75,Rheinland-Pfalz
32530,6.25,49.5,Saarland
32930,6.5,52.0,Nordrhein-Westfalen
32940,6.5,51.75,Nordrhein-Westfalen
32950,6.5,51.5,Nordrhein-Westfalen
32960,6.5,51.25,Nordrhein-Westfalen
32970,6.5,51.0,Nordrhein-Westfalen
32980,6.5,50.75,Nordrhein-Westfalen
32990,6.5,50.5,Nordrhein-Westfalen
33000,6.5,50.25,Rheinland-Pfalz
33010,6.5,50.0,Rheinland-Pfalz
33020,6.5,49.75,Rheinland-Pfalz
33030,6.5,49.5,Saarland
33040,6.5,49.25,Saarland
33360,6.75,53.75,Niedersachsen
33370,6.75,53.5,Niedersachsen
33400,6.75,52.75,Niedersachsen
33410,6.75,52.5,Niedersachsen
33420,6.75,52.25,Nordrhein-Westfalen
33430,6.75,52.0,Nordrhein-Westfalen
33440,6.75,51.75,Nordrhein-Westfalen
33450,6.75,51.5,Nordrhein-Westfalen
33460,6.75,51.25,Nordrhein-Westfalen
33470,6.75,51.0,Nordrhein-Westfalen
33480,6.75,50.75,Nordrhein-Westfalen
33490,6.75,50.5,Nordrhein-Westfalen
33500,6.75,50.25,Rheinland-Pfalz
33510,6.75,50.0,Rheinland-Pfalz
33520,6.75,49.75,Rheinland-Pfalz
33530,6.75,49.5,Saarland
33540,6.75,49.25,Saarland
33680,6.75,45.75,Valle d’Aosta/Vallée d’Aoste
33700,6.75,45.25,Piemonte
33710,6.75,45.0,Piemonte
33720,6.75,44.75,Piemonte
33730,6.75,44.5,Piemonte
33860,7.0,53.75,Niedersachsen
33870,7.0,53.5,Niedersachsen
33880,7.0,53.25,Niedersachsen
33890,7.0,53.0,Niedersachsen
33900,7.0,52.75,Niedersachsen
33910,7.0,52.5,Niedersachsen
33920,7.0,52.25,Nordrhein-Westfalen
33930,7.0,52.0,Nordrhein-Westfalen
33940,7.0,51.75,Nordrhein-Westfalen
33950,7.0,51.5,Nordrhein-Westfalen
33960,7.0,51.25,Nordrhein-Westfalen
33970,7.0,51.0,Nordrhein-Westfalen
33980,7.0,50.75,Nordrhein-Westfalen
33990,7.0,50.5,Rheinland-Pfalz
34000,7.0,50.25,Rheinland-Pfalz
34010,7.0,50.0,Rheinland-Pfalz
34020,7.0,49.75,Rheinland-Pfalz
34030,7.0,49.5,Saarland
34040,7.0,49.25,Saarland
34170,7.0,46.0,Valle d’Aosta/Vallée d’Aoste
34180,7.0,45.75,Valle d’Aosta/Vallée d’Aoste
34190,7.0,45.5,Valle d’Aosta/Vallée d’Aoste
34200,7.0,45.25,Piemonte
34210,7.0,45.0,Piemonte
34220,7.0,44.75,Piemonte
34230,7.0,44.5,Piemonte
34240,7.0,44.25,Piemonte
34350,7.25,53.75,Niedersachsen
34360,7.25,53.5,Niedersachsen
34370,7.25,53.25,Niedersachsen
34380,7.25,53.0,Niedersachsen
34390,7.25,52.75,Niedersachsen
34400,7.25,52.5,Niedersachsen
34410,7.25,52.25,Nordrhein-Westfalen
34420,7.25,52.0,Nordrhein-Westfalen
34430,7.25,51.75,Nordrhein-Westfalen
34440,7.25,51.5,Nordrhein-Westfalen
34450,7.25,51.25,Nordrhein-Westfalen
34460,7.25,51.0,Nordrhein-Westfalen
34470,7.25,50.75,Nordrhein-Westfalen
34480,7.25,50.5,Rheinland-Pfalz
34490,7.25,50.25,Rheinland-Pfalz
34500,7.25,50.0,Rheinland-Pfalz
34510,7.25,49.75,Rheinland-Pfalz
34520,7.25,49.5,Saarland
34530,7.25,49.25,Saarland
34540,7.25,49.0,Saarland
34660,7.25,46.0,Valle d’Aosta/Vallée d’Aoste
34670,7.25,45.75,Valle d’Aosta/Vallée d’Aoste
34680,7.25,45.5,Valle d’Aosta/Vallée d’Aoste
34690,7.25,45.25,Piemonte
34700,7.25,45.0,Piemonte
34710,7.25,44.75,Piemonte
34720,7.25,44.5,Piemonte
34730,7.25,44.25,Piemonte
34740,7.25,44.0,Piemonte
34840,7.5,53.75,Niedersachsen
34850,7.5,53.5,Niedersachsen
34860,7.5,53.25,Niedersachsen
34870,7.5,53.0,Niedersachsen
34880,7.5,52.75,Niedersachsen
34890,7.5,52.5,Niedersachsen
34900,7.5,52.25,Nordrhein-Westfalen
34910,7.5,52.0,Nordrhein-Westfalen
34920,7.5,51.75,Nordrhein-Westfalen
34930,7.5,51.5,Nordrhein-Westfalen
34940,7.5,51.25,Nordrhein-Westfalen
34950,7.5,51.0,Nordrhein-Westfalen
34960,7.5,50.75,Nordrhein-Westfalen
34970,7.5,50.5,Rheinland-Pfalz
34980,7.5,50.25,Rheinland-Pfalz
34990,7.5,50.0,Rheinland-Pfalz
35000,7.5,49.75,Rheinland-Pfalz
35010,7.5,49.5,Rheinland-Pfalz
35020,7.5,49.25,Rheinland-Pfalz
35030,7.5,49.0,Rheinland-Pfalz
35060,7.5,48.25,Baden-Württemberg
35070,7.5,48.0,Baden-Württemberg
35080,7.5,47.75,Baden-Württemberg
35090,7.5,47.5,Baden-Württemberg
35150,7.5,46.0,Valle d’Aosta/Vallée d’Aoste
35160,7.5,45.75,Valle d’Aosta/Vallée d’Aoste
35170,7.5,45.5,Piemonte
35180,7.5,45.25,Piemonte
35190,7.5,45.0,Piemonte
35200,7.5,44.75,Piemonte
35210,7.5,44.5,Piemonte
35220,7.5,44.25,Piemonte
35230,7.5,44.0,Liguria
35240,7.5,43.75,Liguria
35320,7.75,53.75,Niedersachsen
35330,7.75,53.5,Niedersachsen
35340,7.75,53.25,Niedersachsen
35350,7.75,53.0,Niedersachsen
35360,7.75,52.75,Niedersachsen
35370,7.75,52.5,Niedersachsen
35380,7.75,52.25,Nordrhein-Westfalen
35390,7.75,52.0,Nordrhein-Westfalen
35400,7.75,51.75,Nordrhein-Westfalen
35410,7.75,51.5,Nordrhein-Westfalen
35420,7.75,51.25,Nordrhein-Westfalen
35430,7.75,51.0,Nordrhein-Westfalen
35440,7.75,50.75,Rheinland-Pfalz
35450,7.75,50.5,Rheinland-Pfalz
35460,7.75,50.25,Rheinland-Pfalz
35470,7.75,50.0,Rheinland-Pfalz
35480,7.75,49.75,Rheinland-Pfalz
35490,7.75,49.5,Rheinland-Pfalz
35500,7.75,49.25,Rheinland-Pfalz
35510,7.75,49.0,Rheinland-Pfalz
35520,7.75,48.75,Baden-Württemberg
35530,7.75,48.5,Baden-Württemberg
35540,7.75,48.25,Baden-Württemberg
35550,7.75,48.0,Baden-Württemberg
35560,7.75,47.75,Baden-Württemberg
35570,7.75,47.5,Baden-Württemberg
35630,7.75,46.0,Valle d’Aosta/Vallée d’Aoste
35640,7.75,45.75,Valle d’Aosta/Vallée d’Aoste
35650,7.75,45.5,Piemonte
35660,7.75,45.25,Piemonte
35670,7.75,45.0,Piemonte
35680,7.75,44.75,Piemonte
35690,7.75,44.5,Piemonte
35700,7.75,44.25,Piemonte
35710,7.75,44.0,Liguria
35720,7.75,43.75,Liguria
35840,8.0,53.75,Niedersachsen
35850,8.0,53.5,Niedersachsen
35860,8.0,53.25,Niedersachsen
35870,8.0,53.0,Niedersachsen
35880,8.0,52.75,Niedersachsen
35890,8.0,52.5,Niedersachsen
35900,8.0,52.25,Niedersachsen
35910,8.0,52.0,Nordrhein-Westfalen
35920,8.0,51.75,Nordrhein-Westfalen
35930,8.0,51.5,Nordrhein-Westfalen
35940,8.0,51.25,Nordrhein-Westfalen
35950,8.0,51.0,Nordrhein-Westfalen
35960,8.0,50.75,Rheinland-Pfalz
35970,8.0,50.5,Rheinland-Pfalz
35980,8.0,50.25,Rheinland-Pfalz
35990,8.0,50.0,Hessen
36000,8.0,49.75,Rheinland-Pfalz
36010,8.0,49.5,Rheinland-Pfalz
36020,8.0,49.25,Rheinland-Pfalz
36030,8.0,49.0,Rheinland-Pfalz
36040,8.0,48.75,Baden-Württemberg
36050,8.0,48.5,Baden-Württemberg
36060,8.0,48.25,Baden-Württemberg
36070,8.0,48.0,Baden-Württemberg
36080,8.0,47.75,Baden-Württemberg
36090,8.0,47.5,Baden-Württemberg
36140,8.0,46.25,Piemonte
36150,8.0,46.0,Piemonte
36160,8.0,45.75,Piemonte
36170,8.0,45.5,Piemonte
36180,8.0,45.25,Piemonte
36190,8.0,45.0,Piemonte
36200,8.0,44.75,Piemonte
36210,8.0,44.5,Piemonte
36220,8.0,44.25,Piemonte
36230,8.0,44.0,Liguria
36240,8.0,43.75,Liguria
36380,8.25,55.0,Schleswig-Holstein
36390,8.25,54.75,Schleswig-Holstein
36420,8.25,53.5,Niedersachsen
36430,8.25,53.25,Niedersachsen
36440,8.25,53.0,Niedersachsen
36450,8.25,52.75,Niedersachsen
36460,8.25,52.5,Niedersachsen
36470,8.25,52.25,Niedersachsen
36480,8.25,52.0,Nordrhein-Westfalen
36490,8.25,51.75,Nordrhein-Westfalen
36500,8.25,51.5,Nordrhein-Westfalen
36510,8.25,51.25,Nordrhein-Westfalen
36520,8.25,51.0,Nordrhein-Westfalen
36530,8.25,50.75,Hessen
36540,8.25,50.5,Hessen
36550,8.25,50.25,Hessen
36560,8.25,50.0,Hessen
36570,8.25,49.75,Rheinland-Pfalz
36580,8.25,49.5,Rheinland-Pfalz
36590,8.25,49.25,Rheinland-Pfalz
36600,8.25,49.0,Rheinland-Pfalz
36610,8.25,48.75,Baden-Württemberg
36620,8.25,48.5,Baden-Württemberg
36630,8.25,48.25,Baden-Württemberg
36640,8.25,48.0,Baden-Württemberg
36650,8.25,47.75,Baden-Württemberg
36660,8.25,47.5,Baden-Württemberg
36700,8.25,46.5,Piemonte
36710,8.25,46.25,Piemonte
36720,8.25,46.0,Piemonte
36730,8.25,45.75,Piemonte
36740,8.25,45.5,Piemonte
36750,8.25,45.25,Piemonte
36760,8.25,45.0,Piemonte
36770,8.25,44.75,Piemonte
36780,8.25,44.5,Piemonte
36790,8.25,44.25,Liguria
36800,8.25,44.0,Liguria
36820,8.25,41.0,Sardegna
36830,8.25,40.75,Sardegna
36840,8.25,40.5,Sardegna
36890,8.25,39.25,Sardegna
36900,8.25,39.0,Sardegna
37000,8.5,55.0,Schleswig-Holstein
37010,8.5,54.75,Schleswig-Holstein
37020,8.5,54.5,Schleswig-Holstein
37040,8.5,54.0,Hamburg
37050,8.5,53.75,Niedersachsen
37060,8.5,53.5,Niedersachsen
37070,8.5,53.25,Niedersachsen
37080,8.5,53.0,Niedersachsen
