,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
0,2021-12-01,8903403.8,34408.0,32246.7,32130.8,868430.0,34651.7,155303.0,935212.5,80881.16583704762,644.8930143830061,173.9413981776621,281.3779664437143,0.0,142.90769748337559,80546.37635176396,424.2856639270899,10060574
1,2021-12-02,6176723.8,75006.2,35932.7,31123.2,868463.2,39499.2,2833825.7,939085.6,1177641.889432165,13754.984564149827,4413.3388052584405,5951.726452047337,6.660330322138685,2426.234605309223,1174056.0837446437,8384.621387678699,10060574
2,2021-12-03,4636600.3,102195.7,43637.8,31817.0,868551.1,42678.8,4335093.3,943046.9,1471582.989677242,24802.161486652727,9340.346897198198,10138.247678963065,25.44189458354075,3522.1146148301304,1469320.5185898717,13685.804188376736,10060574
3,2021-12-04,3662472.7,122813.0,53705.6,33763.9,868702.1,44919.1,5274197.6,947385.1,1488566.9451116433,35646.06098294733,15124.534731356202,13810.606086989812,72.39399146338043,4135.285998573739,1489464.9342115577,18018.286077026933,10060574
4,2021-12-05,2971835.3,140262.8,65682.7,36955.0,868929.6,46669.4,5930239.2,952554.0,1401457.4299461294,47032.42120665276,22131.815813665176,17352.823505124463,158.43244617186218,4549.2071660894935,1406428.486765239,22060.463117385818,10060574
5,2021-12-06,2493898.3,154411.4,78250.9,40915.5,869246.3,47958.4,6375893.2,958120.2000000001,1285013.102276864,58181.68312484608,29677.796071979472,20463.229629019952,310.3301628910732,4811.161049060819,1294180.1381261265,25584.720840971844,10060574
6,2021-12-07,2131866.4,166609.1,91575.4,45711.9,869657.2,48990.0,6706164.0,964359.1,1163392.7959342194,68982.53104873726,37856.47109861139,23199.117213592417,500.47193727520835,4983.091731044092,1176532.529290457,28682.680881911718,10060574
7,2021-12-08,1849473.8,177143.1,105350.0,51249.4,870194.9,49837.8,6957325.0,971282.1000000001,1047799.1189798549,79503.71149254605,46467.496112874425,25586.831465423777,767.7550976711258,5092.729578526628,1064448.784723718,31447.31614162153,10060574
8,2021-12-09,1623778.4,186430.3,119315.9,57493.9,870878.8,50519.0,7152157.7,978891.7000000001,942735.3780971837,89422.17358468761,55456.51960851853,27594.329549565075,1082.8948979471645,5172.480565454064,962288.0995205177,33849.705012966304,10060574
9,2021-12-10,1439561.9,194485.1,133287.5,64374.8,871749.4,51075.9,7306039.4,987200.1000000001,848793.6862269241,98663.94857135002,64623.22811536112,29124.493845558933,1469.9485841348328,5211.698253928368,870541.8187480944,35806.140683622136,10060574
10,2021-12-11,1286981.8,201290.9,147361.3,71873.9,872811.3,51537.4,7428717.4,996222.6000000001,767064.7650564847,106943.65655844203,73883.91848981753,30296.489705739838,1919.1898837790905,5227.380514177249,789941.1270008923,37443.060103696174,10060574
11,2021-12-12,1158846.8,207031.8,161165.5,79899.9,874132.6,51919.7,7527577.7,1005952.2,696698.012597108,114310.1063360541,83165.98216608759,31143.26359728537,2396.4158320291576,5231.394270173106,719529.1040261054,38771.073699487635,10060574
12,2021-12-13,1045970.2,211726.6,175219.2,88775.2,875769.9,52259.4,7610853.5,1016804.5,634475.3845885276,120775.79783234719,92536.6820431768,31644.347061679116,2979.2103802853535,5213.126666406639,655964.6064921872,39836.684108371104,10060574
13,2021-12-14,953789.2,215167.6,188304.8,97749.6,877639.2,52524.9,7675398.7,1027913.7,584959.2048635187,125854.29811110943,101414.33997103172,31882.986397763932,3562.3326009793077,5190.052108601608,603969.2453097344,40635.37110734485,10060574
14,2021-12-15,874102.5,217590.9,200808.6,107118.2,879838.4,52747.1,7728368.3,1039703.7,543775.5863902406,129761.69916462252,109982.87647829548,31952.25394178007,4171.306227070844,5168.526278350532,559132.1672830227,41292.08644720145,10060574
15,2021-12-16,804610.4,218955.7,212810.1,116800.7,882400.5,52935.0,7772061.6,1052136.2,509821.980286884,132715.91461693658,117872.35073625197,31782.239200691947,4830.354236492392,5143.135638888012,520704.13334852643,41755.729076072355,10060574
16,2021-12-17,743959.3,219581.7,223908.6,126813.3,885338.6,53095.7,7807876.8,1065247.6,482453.9705116023,134825.78342145839,125242.03366138703,31655.726594251475,5520.990458242071,5112.330643649724,487950.2063296623,42289.04769614327,10060574
17,2021-12-18,690650.9,219266.4,234449.2,136946.2,888684.3,53228.7,7837348.3,1078859.2000000002,460861.4427602835,135998.19781982404,132128.29791062928,31602.905346818985,6227.474207895204,5087.766662298892,460262.78173214267,42918.14621701308,10060574
18,2021-12-19,643667.1,217957.1,244261.2,147257.4,892483.0,53341.1,7861607.1,1093081.5,443936.4668655753,136172.25806268325,138516.2946774133,31803.706533044227,6964.017389409651,5060.891649699685,436806.7377789519,43828.61557215356,10060574
19,2021-12-20,601918.1,215923.8,253296.4,157648.1,896709.3,53427.6,7881650.7,1107785.0,430775.89631743554,135599.68868828574,144165.4751209179,32197.031833540186,7716.932214941375,5038.198352585971,416955.87976188795,44952.16240106753,10060574
20,2021-12-21,563467.3,213069.3,261793.9,168455.9,901652.9,53508.4,7898626.3,1123617.2,420260.04074669053,134432.09167907044,149345.5055697693,32993.30939887661,8464.156466535811,5011.042989238867,399672.2155099226,46468.50885465129,10060574
