,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
0,2021-12-01,8786926.6,34152.5,32281.6,31862.1,868430.0,34848.1,272073.1,935140.2,150369.06558478044,611.4499570692601,19.257206443303247,171.91826546356268,0.0,173.28268811396018,149752.86075761626,345.20095357752285,10060574
1,2021-12-02,5005754.3,64084.8,36320.9,26559.0,868459.8,42315.4,4017079.8,937334.2000000001,1973397.1412587003,6396.118929475905,824.2360644863825,2446.180328593949,5.344155686354955,2377.125457353902,1966339.695064553,4828.649941634207,10060574
2,2021-12-03,3558008.2,78809.3,42625.5,25027.6,868532.3,46351.7,5441219.4,939911.6000000001,2352557.269549492,4151.60463074219,1847.2157020770476,3066.4862693317245,11.018620603324175,2987.7363354218523,2347045.391718499,6065.241225356901,10060574
3,2021-12-04,2827255.2,87716.6,49884.6,25459.2,868648.0,48818.6,6152791.8,942925.8,2333379.5764138675,2995.448120064843,2410.0089709376603,3164.864603738997,22.441033844277317,3086.500225174137,2332730.6507586255,6273.805862757412,10060574
4,2021-12-05,2363133.3,94102.7,57853.9,27283.5,868830.0,50501.9,6598868.7,946615.4,2183086.3810505094,9269.552438494537,2309.0329339357636,3074.5054317727268,39.02050742878672,2995.134202335514,2189574.827178329,6108.660141537028,10060574
5,2021-12-06,2052462.4,99042.2,65649.4,29995.5,869064.8,51599.8,6892759.9,950660.1000000001,2002606.2914681055,16542.136692700857,1505.1499061555298,3020.1128207403112,64.61238271415164,2852.180036393215,2017393.8024527314,5936.905239847678,10060574
6,2021-12-07,1815353.5,103340.7,73465.7,33432.2,869378.0,52396.2,7113207.7,955206.4,1818040.7322426112,24215.83621950727,889.7998707574642,2990.3484345473858,96.40539403996023,2664.468006938721,1842277.5222615649,5751.221835526067,10060574
7,2021-12-08,1624270.0,107190.7,81246.0,37531.4,869802.3,52967.3,7287566.3,960301.0,1641165.0962479063,31865.4203551436,2997.447347327389,3133.786182878468,134.9541033092362,2478.39758916926,1675726.875547686,5747.137875356964,10060574
8,2021-12-09,1465099.9,111078.4,88856.6,42183.6,870341.7,53395.3,7429618.5,965920.6,1476269.6859035243,39503.49298277306,6074.126195593898,3462.030103855251,180.71139975109483,2305.8843444544223,1521926.5621455754,5948.6258480607685,10060574
9,2021-12-10,1329512.4,114887.7,96526.8,47302.6,871001.3,53708.8,7547634.4,972012.7000000001,1324815.564255357,47085.60927937537,9661.955152038328,4179.084091041959,229.99436949629876,2165.0373576453594,1382344.5891550486,6574.115818183617,10060574
10,2021-12-11,1211960.7,118761.2,104037.4,52872.7,871803.7,53947.6,7647190.7,978624.0,1187090.0130269018,54237.79299123444,13896.35037123057,5170.151023906362,292.4831790035112,2025.4335437135428,1256935.0115991717,7488.067746623416,10060574
11,2021-12-12,1108597.0,122535.9,111544.7,58789.0,872794.5,54125.9,7732187.0,985709.4,1061720.8100899218,60876.29243547935,18788.694579720006,6425.060653410207,368.2097907443527,1907.4190651243894,1144274.994346726,8700.68950927895,10060574
12,2021-12-13,1013521.7,126465.0,119132.3,65351.5,874052.8,54271.1,7807779.6,993675.4,943642.4679777877,67504.36302936278,24128.83400850526,8118.201565001943,504.49436072170323,1803.4446733958878,1039848.1224965692,10426.140599119533,10060574
