,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
182,2022-06-01,6878463.1,104387.3,101687.9,100480.7,2754085.0,40826.6,80643.4,2895392.3,50802.40186536459,1329.8343543464352,1917.8795817256098,490.86923920734733,0.0,268.16942405874687,52685.8770377793,759.0386632660942,10060574
183,2022-06-02,5220528.0,200929.9,154134.8,100425.6,2754560.9,45379.5,1584615.3,2900366.0,914798.451744208,56094.14608932023,81248.18976051097,9770.465937712488,343.6319106253085,4442.225821589893,1021490.2520840863,14556.32366992769,10060574
184,2022-06-03,4029045.3,340357.8,283454.9,101463.9,2755807.6,47581.2,2502863.3,2904852.7,1223305.5139903564,207970.94685017905,272811.93242321716,16007.676592497735,1126.9985093157843,6194.380078748801,1627595.5612845013,23329.05518056232,10060574
185,2022-06-04,2962226.8,546876.6,558775.8,102860.7,2757660.2,48728.1,3083445.8,2909249.0,1045317.1778571133,483605.60999417695,686290.0060552827,20604.40548062477,2155.6974648591117,6967.099776090479,2028117.399761355,29727.202721574362,10060574
186,2022-06-05,1944600.9,715580.1,1018182.8,104422.3,2760018.7,49342.0,3468427.2,2913783.0,712898.2066359054,711242.2267989225,1378647.2956968218,24097.134452253857,3296.1556713844684,7296.7947757902575,2297009.666825275,34690.084899428584,10060574
187,2022-06-06,1188164.1,653348.2,1554489.0,106302.6,2762974.4,49698.8,3745596.9,2918975.8,707773.5917077508,600812.646894321,2180603.920738565,26868.173935718074,4563.532802555494,7445.593136883051,2485512.089329901,38877.29987515662,10060574
188,2022-06-07,820198.0,458162.5,1922114.0,108214.4,2766244.5,49899.4,3935741.2,2924358.3,693056.8817706091,304154.7592506979,2723615.767231861,28851.323956449556,5748.247580784948,7499.449542466434,2608566.4631551867,42099.021079700935,10060574
189,2022-06-08,629406.1,311990.1,2113177.4,110138.8,2769924.4,50023.5,4075913.7,2930086.6999999997,604371.17339371,100416.84690673173,2999320.424418145,30397.500702524867,6840.60510773718,7527.205500715389,2695286.4538343986,44765.311310977435,10060574
190,2022-06-09,506389.6,238754.0,2198728.6,111974.8,2773990.0,50106.3,4180630.7,2936071.1,511410.07312511944,82608.55079106521,3115492.6847996996,31678.32391336385,7900.124302819545,7537.718183243522,2758076.2191535626,47116.16639942692,10060574
191,2022-06-10,416662.3,206068.1,2236008.5,113550.3,2778437.5,50158.1,4259689.2,2942145.9,433121.6415024883,113119.59003324756,3158935.335647922,32595.97154572939,8868.289048627137,7542.334392613469,2804623.4263973054,49006.59498697,10060574
192,2022-06-11,348278.2,190618.6,2253124.4,115020.1,2783217.1,50197.2,4320118.4,2948434.4,370026.778235792,127196.48511590247,3172638.4506016816,33240.465458383704,9699.517910185023,7544.07536812829,2840035.4527976653,50484.058736697014,10060574
193,2022-06-12,295623.9,181719.9,2261892.2,116385.3,2788287.1,50225.7,4366439.9,2954898.1,320097.83757859096,131783.34189073366,3174478.1259871298,33663.86681606853,10371.320093893546,7544.16911329538,2867206.546317668,51579.35602325745,10060574
194,2022-06-13,254508.0,175222.8,2267195.4,117492.7,2793674.8,50242.7,4402237.6,2961410.1999999997,281010.35676928353,132309.84979267415,3171813.248498221,33838.99656919514,10931.217624766237,7544.293579255781,2888333.565531246,52314.507773217156,10060574
195,2022-06-14,222137.6,169545.3,2270719.5,118493.9,2799314.6,50256.2,4430106.9,2968064.7,251008.95629048778,131032.10273673396,3167484.748235712,33880.34783012122,11398.279845660923,7544.46354355298,2904955.031258021,52823.091219335125,10060574
196,2022-06-15,195403.4,163866.5,2273360.6,119329.4,2805529.3,50268.7,4452816.1,2975127.4,227506.40008193173,128945.91982939979,3162418.4629126866,33703.92957267742,11758.631009177896,7543.961691975907,2918649.0638875873,53006.52227383122,10060574
197,2022-06-16,175301.1,158544.5,2275157.6,119952.7,2811783.3,50275.6,4469559.2,2982011.5999999996,211588.07627862683,126590.36462957993,3157494.8628133414,33371.97348389813,11958.347135369502,7543.947987625577,2928865.865271293,52874.26860689321,10060574
198,2022-06-17,159229.0,153318.8,2276412.3,120489.5,2818214.5,50280.2,4482629.7,2988984.2,200426.5611559506,124118.54680812212,3152745.5748565583,32921.23511428452,12103.400929077745,7543.640351978613,2936941.359187822,52568.27639534088,10060574
199,2022-06-18,146406.6,148166.2,2277223.5,120886.5,2824855.4,50283.9,4492751.9,2996025.8,193101.7377551015,121610.14070364361,3148217.218633087,32281.269638135363,12107.15465499636,7543.604900178694,2943285.0249023265,51932.029193310416,10060574
