country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Afghanistan,AFG,57.9082516903546,497.741429257502,6.52147984507833,74.23410411,11.71,,63.565,6.791,2.41775383911968,23.8,0.39,1066747.35619248,13.1258096694946,48.78979,4.34319019317627,7.6,0.666
Albania,ALB,104.167554744526,5396.2142432843,1.25702482876329,350.83456421,11.466,0.0,79.282,8.48,15.3505526581018,23.0,2.89,307741.0,83.5595169067383,17.57287,3.91623997688293,2.8,6.7509999999999994
Algeria,DZA,17.9303156808402,4021.9832660524,-0.472073341295342,250.56077576,12.0,0.5,76.474,4.392,5.85503670340651,21.0,1.9,6752002.0,45.0607986450195,24.32018,6.03690671920776,7.0,3.291
American Samoa,ASM,236.605,13672.576657298,1.74828930007058,214.85179138,9.2,0.5,74.453,5.6,6.1051764034615,21.0,1.9,76944.0,45.0607986450195,24.32018,7.04239749908447,7.0,3.291
Andorra,AND,162.431914893617,41328.6123929102,1.37475350829189,3061.79052734,9.2,0.5,74.453,3.9,13.842788467836,32.0,1.9,76944.0,72.3267669677734,10.49757,3.15060997009277,5.4,7.991
Angola,AGO,25.9513820486083,2191.34776373555,19.1870038271785,69.37934113,16.497,31.1,62.448,7.811,2.57599713515546,31.8,1.9,1436959.0,27.9697608947754,50.02951,2.07306432723999,2.9,0.612
Antigua and Barbuda,ATG,209.356818181818,18730.0047966374,0.718452311457611,801.54382324,16.497,31.1,78.691,5.865,9.42882111239572,31.8,2.89,526333.995080553,27.9697608947754,12.40564,3.4573450088501,12.5,12.475
Argentina,ARG,16.4208266190179,9963.67416171662,49.1955790596612,958.52349854,9.843,1.1,77.284,7.6,11.6005982274874,24.9,4.99,19461377.0,27.9697608947754,12.40564,4.77759981155396,5.5,9.5155
Armenia,ARM,99.0727783631893,4828.50488626598,1.06562263923419,549.47436523,12.2,1.0,75.439,9.662,12.0242437650267,25.8,4.2,193668.0,96.4698181152344,15.41859,2.57191228866577,8.5,9.58
Aruba,ABW,591.344444444444,31902.8098183195,6.09420808167786,551.543396,8.9,0.4,76.248,8.778,14.270145853395,25.5,4.2,274280.0,60.7653388977051,14.78869,5.49105978012085,12.4,9.58
