,date,iso3,region,confirmed,deaths,recovered,people_vaccinated,population,new_cases
665,2021-12-19,DEU,Baden-Württemberg,974151.0,13652.0,960497.0,8072500.0,10486660,1826.0
666,2021-12-20,DEU,Baden-Württemberg,977258.0,13668.0,963588.0,8082057.0,10486660,3107.0
667,2021-12-21,DEU,Baden-Württemberg,983553.0,13695.0,969856.0,8094960.0,10486660,6295.0
668,2021-12-22,DEU,Baden-Württemberg,989167.0,13727.0,975438.0,8109615.0,10486660,5614.0
669,2021-12-23,DEU,Baden-Württemberg,993989.0,13760.0,980227.0,8117311.0,10486660,4822.0
670,2021-12-24,DEU,Baden-Württemberg,997137.0,13771.0,983364.0,8117880.0,10486660,3148.0
671,2021-12-25,DEU,Baden-Württemberg,998477.0,13780.0,984695.0,8118315.0,10486660,1340.0
672,2021-12-26,DEU,Baden-Württemberg,999517.0,13793.0,985722.0,8119817.0,10486660,1040.0
673,2021-12-27,DEU,Baden-Württemberg,1002416.0,13819.0,988595.0,8126830.0,10486660,2899.0
674,2021-12-28,DEU,Baden-Württemberg,1008791.0,13840.0,994949.0,8135781.0,10486660,6375.0
675,2021-12-29,DEU,Baden-Württemberg,1014517.0,13864.0,1000651.0,8144466.0,10486660,5726.0
676,2021-12-30,DEU,Baden-Württemberg,1019889.0,13880.0,1006007.0,8151093.0,10486660,5372.0
677,2021-12-31,DEU,Baden-Württemberg,1024116.0,13895.0,1010219.0,8152089.0,10486660,4227.0
678,2022-01-01,DEU,Baden-Württemberg,1025808.0,13904.0,1011902.0,8152762.0,10486660,1692.0
679,2022-01-02,DEU,Baden-Württemberg,1027368.0,13916.0,1013450.0,8155986.0,10486660,1560.0
680,2022-01-03,DEU,Baden-Württemberg,1031165.0,13929.0,1017234.0,8160096.0,10486660,3797.0
681,2022-01-04,DEU,Baden-Württemberg,1039341.0,13952.0,1025387.0,8167180.0,10486660,8176.0
682,2022-01-05,DEU,Baden-Württemberg,1046858.0,13973.0,1032883.0,8173729.0,10486660,7517.0
683,2022-01-06,DEU,Baden-Württemberg,1051274.0,13980.0,1037292.0,8177791.0,10486660,4416.0
684,2022-01-07,DEU,Baden-Württemberg,1056606.0,13991.0,1042613.0,8183314.0,10486660,5332.0
685,2022-01-08,DEU,Baden-Württemberg,1061802.0,13999.0,1047801.0,8189709.0,10486660,5196.0
686,2022-01-09,DEU,Baden-Württemberg,1065230.0,14005.0,1051223.0,8193914.0,10486660,3428.0
687,2022-01-10,DEU,Baden-Württemberg,1071650.0,14017.0,1057631.0,8198017.0,10486660,6420.0
688,2022-01-11,DEU,Baden-Württemberg,1084138.0,14032.0,1070104.0,8204170.0,10486660,12488.0
689,2022-01-12,DEU,Baden-Württemberg,1096473.0,14050.0,1082421.0,8210829.0,10486660,12335.0
690,2022-01-13,DEU,Baden-Württemberg,1108099.0,14061.0,1094036.0,8217824.0,10486660,11626.0
691,2022-01-14,DEU,Baden-Württemberg,1117984.0,14071.0,1103911.0,8225633.0,10486660,9885.0
692,2022-01-15,DEU,Baden-Württemberg,1125003.0,14077.0,1110924.0,8235609.0,10486660,7019.0
693,2022-01-16,DEU,Baden-Württemberg,1128860.0,14086.0,1114772.0,8239632.0,10486660,3857.0
694,2022-01-17,DEU,Baden-Württemberg,1138259.0,14095.0,1124162.0,8245492.0,10486660,9399.0
695,2022-01-18,DEU,Baden-Württemberg,1155332.0,14116.0,1141214.0,8251084.0,10486660,17073.0
696,2022-01-19,DEU,Baden-Württemberg,1172260.0,14132.0,1158126.0,8257226.0,10486660,16928.0
697,2022-01-20,DEU,Baden-Württemberg,1190088.0,14150.0,1175936.0,8263902.0,10486660,17828.0
698,2022-01-21,DEU,Baden-Württemberg,1209164.0,14163.0,1194999.0,8270484.0,10486660,19076.0
699,2022-01-22,DEU,Baden-Württemberg,1221865.0,14174.0,1207689.0,8276452.0,10486660,12701.0
700,2022-01-23,DEU,Baden-Württemberg,1229554.0,14181.0,1215371.0,8278922.0,10486660,7689.0
701,2022-01-24,DEU,Baden-Württemberg,1244132.0,14203.0,1229927.0,8281964.0,10486660,14578.0
702,2022-01-25,DEU,Baden-Württemberg,1267979.0,14218.0,1253759.0,8286674.0,10486660,23847.0
703,2022-01-26,DEU,Baden-Württemberg,1292503.0,14241.0,1278260.0,8291563.0,10486660,24524.0
704,2022-01-27,DEU,Baden-Württemberg,1318244.0,14273.0,1303969.0,8296233.0,10486660,25741.0
705,2022-01-28,DEU,Baden-Württemberg,1343647.0,14296.0,1329349.0,8300562.0,10486660,25403.0
706,2022-01-29,DEU,Baden-Württemberg,1360368.0,14311.0,1346055.0,8304219.0,10486660,16721.0
707,2022-01-30,DEU,Baden-Württemberg,1370099.0,14319.0,1355778.0,8305746.0,10486660,9731.0
