,region,date,variable,value
0,Abruzzo,2021-12-01,temperature,8.593484714061752
1,Abruzzo,2021-12-02,temperature,11.207309247981406
2,Abruzzo,2021-12-03,temperature,9.394332648978676
3,Abruzzo,2021-12-04,temperature,8.67011293295913
4,Abruzzo,2021-12-05,temperature,10.477769996179388
5,Abruzzo,2021-12-06,temperature,7.1800792575504016
6,Abruzzo,2021-12-07,temperature,6.615486997181376
7,Abruzzo,2021-12-08,temperature,7.992501700187499
8,Abruzzo,2021-12-09,temperature,8.381725318575906
9,Abruzzo,2021-12-10,temperature,6.744591617049037
10,Abruzzo,2021-12-11,temperature,7.269038530726588
11,Abruzzo,2021-12-12,temperature,7.477192328191922
12,Abruzzo,2021-12-13,temperature,8.829692597572384
13,Abruzzo,2021-12-14,temperature,9.871961096658472
14,Abruzzo,2021-12-15,temperature,10.019333526445083
15,Abruzzo,2021-12-16,temperature,9.595924389312632
16,Abruzzo,2021-12-17,temperature,9.24113298564362
17,Abruzzo,2021-12-18,temperature,7.797586726363588
18,Abruzzo,2021-12-19,temperature,8.084064573820925
19,Abruzzo,2021-12-20,temperature,8.592559462956492
20,Abruzzo,2021-12-21,temperature,8.82943680865826
21,Abruzzo,2021-12-22,temperature,7.777805606797325
22,Abruzzo,2021-12-23,temperature,7.585060469106905
23,Abruzzo,2021-12-24,temperature,10.254635800712904
24,Abruzzo,2021-12-25,temperature,11.597510439036885
25,Abruzzo,2021-12-26,temperature,11.446452972503884
26,Abruzzo,2021-12-27,temperature,10.386104277790164
27,Abruzzo,2021-12-28,temperature,10.441191631198343
28,Abruzzo,2021-12-29,temperature,10.430681076093304
29,Abruzzo,2021-12-30,temperature,10.346678427550339
30,Abruzzo,2021-12-31,temperature,10.508421488103563
31,Abruzzo,2022-01-01,temperature,10.582782615655528
32,Abruzzo,2022-01-02,temperature,9.82813437949359
33,Abruzzo,2022-01-03,temperature,9.470214819323488
34,Abruzzo,2022-01-04,temperature,10.224505114694539
35,Abruzzo,2022-01-05,temperature,11.8181719865736
36,Abruzzo,2022-01-06,temperature,9.150591654973338
37,Abruzzo,2022-01-07,temperature,7.974612597242491
38,Abruzzo,2022-01-08,temperature,6.0055633277905995
39,Abruzzo,2022-01-09,temperature,5.2736449512039645
40,Abruzzo,2022-01-10,temperature,6.603560170082451
41,Abruzzo,2022-01-11,temperature,7.438669971398498
42,Abruzzo,2022-01-12,temperature,5.843417641620408
43,Abruzzo,2022-01-13,temperature,5.8731772943086815
44,Abruzzo,2022-01-14,temperature,7.360745069840627
45,Abruzzo,2022-01-15,temperature,9.268653522739775
46,Abruzzo,2022-01-16,temperature,8.868410566441192
47,Abruzzo,2022-01-17,temperature,8.085686523109592
48,Abruzzo,2022-01-18,temperature,8.38696508739564
49,Abruzzo,2022-01-19,temperature,6.927249213901735
50,Abruzzo,2022-01-20,temperature,7.835323475619529
51,Abruzzo,2022-01-21,temperature,6.682117123240204
52,Abruzzo,2022-01-22,temperature,5.625050138526812
53,Abruzzo,2022-01-23,temperature,7.039109834370112
54,Abruzzo,2022-01-24,temperature,5.967600059483133
55,Abruzzo,2022-01-25,temperature,4.5365455308113045
56,Abruzzo,2022-01-26,temperature,6.122531841611938
57,Abruzzo,2022-01-27,temperature,6.687418118834152
58,Abruzzo,2022-01-28,temperature,7.110389510956145
59,Abruzzo,2022-01-29,temperature,6.679048902083949
60,Abruzzo,2022-01-30,temperature,8.1372760655867
61,Abruzzo,2022-01-31,temperature,7.9574595826040415
62,Abruzzo,2022-02-01,temperature,7.370368996807908
63,Abruzzo,2022-02-02,temperature,8.006111823115008
64,Abruzzo,2022-02-03,temperature,8.620172212862368
65,Abruzzo,2022-02-04,temperature,8.870911074453273
66,Abruzzo,2022-02-05,temperature,9.04117657295233
67,Abruzzo,2022-02-06,temperature,8.86199422707078
68,Abruzzo,2022-02-07,temperature,9.53489529484454
