cat_value,level_1,direction,counts,n,freq,label,region,var,country
"(-6, -3]",0,Negative,208,498,0.41767068273092367,41.8 %,Baden-Württemberg,temperature,DEU
"(-6, -3]",1,NS,197,498,0.39558232931726905,39.6 %,Baden-Württemberg,temperature,DEU
"(-6, -3]",2,Positive,93,498,0.18674698795180722,18.7 %,Baden-Württemberg,temperature,DEU
"(-3, 0]",0,NS,1237,2288,0.5406468531468531,54.1 %,Baden-Württemberg,temperature,DEU
"(-3, 0]",1,Negative,725,2288,0.3168706293706294,31.7 %,Baden-Württemberg,temperature,DEU
"(-3, 0]",2,Positive,326,2288,0.14248251748251747,14.2 %,Baden-Württemberg,temperature,DEU
"(0, 3]",0,NS,1611,3017,0.5339741465031488,53.4 %,Baden-Württemberg,temperature,DEU
"(0, 3]",1,Negative,1037,3017,0.3437189260855154,34.4 %,Baden-Württemberg,temperature,DEU
"(0, 3]",2,Positive,369,3017,0.12230692741133577,12.2 %,Baden-Württemberg,temperature,DEU
"(3, 6]",0,NS,1835,3179,0.5772255426234665,57.7 %,Baden-Württemberg,temperature,DEU
"(3, 6]",1,Negative,887,3179,0.2790185592953759,27.9 %,Baden-Württemberg,temperature,DEU
"(3, 6]",2,Positive,457,3179,0.1437558980811576,14.4 %,Baden-Württemberg,temperature,DEU
"(6, 9]",0,NS,2228,3949,0.5641934667004305,56.4 %,Baden-Württemberg,temperature,DEU
"(6, 9]",1,Negative,1280,3949,0.3241326918207141,32.4 %,Baden-Württemberg,temperature,DEU
"(6, 9]",2,Positive,441,3949,0.11167384147885541,11.2 %,Baden-Württemberg,temperature,DEU
"(9, 12]",0,NS,2512,4388,0.5724703737465816,57.2 %,Baden-Württemberg,temperature,DEU
"(9, 12]",1,Negative,1411,4388,0.3215587967183227,32.2 %,Baden-Württemberg,temperature,DEU
"(9, 12]",2,Positive,465,4388,0.10597082953509572,10.6 %,Baden-Württemberg,temperature,DEU
"(12, 15]",0,NS,2481,3888,0.6381172839506173,63.8 %,Baden-Württemberg,temperature,DEU
